dataset_id,dataset_name,dataset_name_,test_accuracy
0,Adiac,lstmfcn_8_cells_weights/Adiac,0.046036
1,ArrowHead,lstmfcn_8_cells_weights/ArrowHead,0.400000
2,ChlorineConcentration,lstmfcn_8_cells_weights/ChlorineConcentration,0.230729
3,InsectWingbeatSound,lstmfcn_8_cells_weights/InsectWingbeatSound,0.318687
0,Adiac,lstmfcn_8_cells_weights/Adiac,0.046036
1,ArrowHead,lstmfcn_8_cells_weights/ArrowHead,0.422857
2,ChlorineConcentration,lstmfcn_8_cells_weights/ChlorineConcentration,0.230729
3,InsectWingbeatSound,lstmfcn_8_cells_weights/InsectWingbeatSound,0.175253
0,Adiac,lstmfcn_8_cells_weights/Adiac,0.043478
1,ArrowHead,lstmfcn_8_cells_weights/ArrowHead,0.394286
2,ChlorineConcentration,lstmfcn_8_cells_weights/ChlorineConcentration,0.230729
0,Adiac,lstmfcn_8_cells_weights/Adiac,0.043478
1,ArrowHead,lstmfcn_8_cells_weights/ArrowHead,0.382857
2,ChlorineConcentration,lstmfcn_8_cells_weights/ChlorineConcentration,0.553906
3,InsectWingbeatSound,lstmfcn_8_cells_weights/InsectWingbeatSound,0.096970
4,Lighting7,lstmfcn_8_cells_weights/Lighting7,0.438356
5,Wine,lstmfcn_8_cells_weights/Wine,0.500000
0,Adiac,lstmfcn_8_cells_weights/Adiac,0.048593
1,ArrowHead,lstmfcn_8_cells_weights/ArrowHead,0.285714
2,ChlorineConcentration,lstmfcn_8_cells_weights/ChlorineConcentration,0.346354
3,InsectWingbeatSound,lstmfcn_8_cells_weights/InsectWingbeatSound,0.107071
4,Lighting7,lstmfcn_8_cells_weights/Lighting7,0.342466
5,Wine,lstmfcn_8_cells_weights/Wine,0.500000
6,WordsSynonyms,lstmfcn_8_cells_weights/WordsSynonyms,0.141066
0,Adiac,lstmfcn_8_cells_weights/Adiac,0.020460
1,ArrowHead,lstmfcn_8_cells_weights/ArrowHead,0.548571
0,Adiac,lstmfcn_8_cells_weights/Adiac,0.017903
1,ArrowHead,lstmfcn_8_cells_weights/ArrowHead,0.268571
0,Adiac,lstmfcn_8_cells_weights/Adiac,0.038363
1,ArrowHead,lstmfcn_8_cells_weights/ArrowHead,0.308571
0,Adiac,lstmfcn_8_cells_weights/Adiac,0.038363
